Problem,D,M,IGD_mean,IGD_std,Sparsity_mean,Sparsity_std,Runs
SMOP1,10,2,3.1773116836225843,0.4090382057256467,17.666666666666668,6.407460928913696,3
SMOP2,10,2,3.8246263416052027,0.38506030871527835,37.833333333333336,7.5314156851300025,3
